Date,Close/Last,Volume,Open,High,Low
12/29/2023,$542625.03,8111,$543923.505,$545172.988,$540100.01
12/28/2023,$544999.99,7384,$543682.525,$548888.868,$540005.00
12/27/2023,$543750.00,7623,$543003.00,$545187.00,$540226.01
12/26/2023,$543635.00,10891,$541225.00,$546000.00,$540786.00
12/22/2023,$542600.02,7844,$543209.055,$546100.00,$540177.01
12/21/2023,$540999.98,7700,$545137.50,$547495.36,$538260.01
12/20/2023,$543739.99,8147,$553885.00,$556000.00,$543000.00
12/19/2023,$554650.00,7500,$552721.50,$556366.99,$549720.00
12/18/2023,$551181.60,10465,$546524.495,$555375.00,$545079.00
12/15/2023,$544478.20,8428,$547248.955,$550780.00,$538512.05
12/14/2023,$549760.00,8108,$558013.50,$560512.94,$546540.00
12/13/2023,$555800.00,7807,$551681.995,$556730.00,$549373.00
12/12/2023,$549240.00,7867,$545954.00,$553999.99,$545797.00
12/11/2023,$546907.32,10388,$540632.00,$549999.988,$535881.00
12/08/2023,$539999.90,7636,$538004.00,$542143.99,$534914.01
12/07/2023,$537780.00,6955,$536071.995,$538819.988,$533700.01
12/06/2023,$535220.00,7518,$542181.015,$544349.99,$535220.00
12/05/2023,$539250.00,7498,$539845.00,$545979.53,$535140.01
12/04/2023,$542395.07,10132,$541160.995,$543113.77,$537000.00
12/01/2023,$542414.00,8892,$545956.50,$547067.00,$538805.02
11/30/2023,$545900.00,7416,$544761.50,$546796.00,$543600.00
11/29/2023,$543905.00,7582,$546951.51,$548750.05,$543615.00
11/28/2023,$546868.99,6926,$547930.00,$549189.39,$545881.89
11/27/2023,$547445.05,9911,$549505.00,$553258.458,$545424.93
11/24/2023,$549500.00,7714,$549942.995,$550995.00,$547900.06
11/22/2023,$549520.00,7271,$549224.48,$550842.99,$546403.00
11/21/2023,$547625.03,7220,$546991.505,$550663.64,$545180.01
11/20/2023,$547836.00,9921,$544468.00,$550764.53,$542867.00
11/17/2023,$544190.00,8006,$547921.95,$549999.90,$542850.01
11/16/2023,$546635.01,7320,$543155.50,$548199.53,$539766.02
11/15/2023,$542500.00,7624,$538344.50,$543614.988,$536701.00
11/14/2023,$537400.05,7233,$535813.00,$540000.00,$532756.00
11/13/2023,$531288.00,9418,$533682.765,$537354.53,$528925.01
11/10/2023,$531886.00,7750,$531935.265,$535944.51,$527926.00
11/09/2023,$528224.99,7077,$528812.005,$531124.998,$526310.07
11/08/2023,$526660.00,7252,$525820.50,$528000.00,$523050.00
11/07/2023,$525280.01,7315,$525816.00,$528199.968,$522475.06
11/06/2023,$526449.98,11219,$538674.005,$541142.98,$522207.505
11/03/2023,$533815.00,8005,$533032.145,$537564.778,$531024.00
11/02/2023,$530340.00,7147,$527362.00,$530799.998,$523701.02
11/01/2023,$523749.00,7422,$517661.995,$538000.00,$515921.31
10/31/2023,$517825.00,6612,$513630.15,$518779.998,$512036.31
