Date,Close/Last,Volume,Open,High,Low
12/29/2023,$928.40,44158,$931.55,$938.9723,$927.51
12/28/2023,$933.00,52061,$953.56,$961.91,$928.07
12/27/2023,$949.00,37408,$929.00,$950.24,$929.00
12/26/2023,$929.39,30958,$912.29,$932.00,$912.29
12/22/2023,$910.10,63534,$898.09,$929.25,$898.09
12/21/2023,$890.35,60884,$880.60,$891.88,$863.62
12/20/2023,$877.01,74108,$884.20,$891.36,$877.01
12/19/2023,$886.61,59212,$868.74,$888.715,$868.74
12/18/2023,$868.74,46068,$856.00,$873.98,$856.00
12/15/2023,$856.00,129211,$859.86,$890.00,$846.5738
12/14/2023,$859.72,39406,$861.99,$864.4201,$853.59
12/13/2023,$855.46,58550,$840.98,$861.12,$839.47
12/12/2023,$840.98,53389,$828.87,$848.2923,$822.00
12/11/2023,$824.95,52767,$810.49,$831.90,$810.49
12/08/2023,$806.26,46766,$809.90,$821.96,$795.6001
12/07/2023,$809.20,61730,$789.81,$815.60,$789.81
12/06/2023,$785.00,54623,$759.67,$786.48,$754.90
12/05/2023,$755.00,29874,$747.54,$759.5499,$743.01
12/04/2023,$746.14,41737,$726.58,$747.91,$726.58
12/01/2023,$726.58,50707,$733.26,$734.00,$725.00
11/30/2023,$734.52,68668,$724.78,$735.51,$720.55
11/29/2023,$725.78,52861,$720.00,$726.57,$718.00
11/28/2023,$719.51,36398,$725.00,$726.62,$716.80
11/27/2023,$725.00,33267,$720.84,$725.90,$719.00
11/24/2023,$725.01,13400,$725.15,$734.99,$723.99
11/22/2023,$728.01,25175,$725.99,$735.99,$723.79
11/21/2023,$720.00,58393,$717.01,$733.54,$715.42
11/20/2023,$716.36,35872,$712.00,$718.72,$705.50
11/17/2023,$710.00,63356,$698.51,$710.55,$695.97
11/16/2023,$696.50,47750,$690.00,$696.64,$688.50
11/15/2023,$690.99,36470,$691.40,$694.6671,$686.7501
11/14/2023,$689.54,40198,$685.00,$700.00,$681.985
11/13/2023,$680.36,28361,$680.00,$682.00,$672.475
11/10/2023,$680.00,30178,$676.30,$682.43,$668.46
11/09/2023,$676.30,57218,$678.42,$682.00,$670.92
11/08/2023,$673.78,25982,$678.00,$679.85,$662.325
11/07/2023,$673.92,52250,$664.98,$684.99,$662.31
11/06/2023,$664.34,21596,$653.35,$664.85,$653.35
11/03/2023,$653.00,46095,$640.76,$656.36,$640.76
11/02/2023,$643.32,51927,$647.50,$652.48,$628.00
11/01/2023,$640.92,31610,$638.54,$643.35,$630.00
10/31/2023,$636.41,41910,$645.00,$645.00,$630.545
10/30/2023,$640.89,27517,$639.80,$645.55,$639.37
10/27/2023,$634.08,22194,$637.52,$643.60,$628.40
10/26/2023,$639.96,23262,$642.82,$650.00,$635.24
10/25/2023,$642.32,18484,$643.45,$650.00,$640.00
10/24/2023,$646.94,30319,$628.51,$650.645,$625.7704
10/23/2023,$623.97,22046,$621.95,$630.235,$621.95
10/20/2023,$622.67,24127,$629.05,$632.67,$621.18
10/19/2023,$625.67,64419,$634.42,$635.555,$624.93
10/18/2023,$634.42,18313,$633.00,$639.73,$633.00
10/17/2023,$632.76,32979,$631.01,$639.9521,$631.01
10/16/2023,$632.65,30530,$629.38,$636.448,$628.2201
10/13/2023,$621.53,42803,$632.05,$632.05,$614.22
10/12/2023,$627.69,44787,$659.81,$659.81,$621.4801
10/11/2023,$659.63,39108,$660.00,$670.00,$647.0817
10/10/2023,$658.21,43221,$645.93,$666.45,$645.93
10/09/2023,$640.26,25435,$643.00,$643.00,$632.00
10/06/2023,$642.12,33975,$632.29,$645.52,$624.14
10/05/2023,$632.29,27308,$648.78,$648.78,$631.25
10/04/2023,$645.00,23863,$635.30,$648.36,$630.00
10/03/2023,$633.92,21655,$633.45,$636.195,$627.75
10/02/2023,$636.40,17258,$637.72,$643.45,$630.02
09/29/2023,$636.32,20995,$646.77,$646.77,$635.25
09/28/2023,$643.43,22058,$638.99,$648.55,$638.99
09/27/2023,$636.60,26867,$646.00,$648.70,$630.05
09/26/2023,$646.00,23745,$653.49,$653.915,$642.70
09/25/2023,$654.00,19394,$650.75,$656.89,$650.37
09/22/2023,$655.26,28718,$653.32,$670.67,$653.31
09/21/2023,$652.83,19849,$662.68,$662.68,$649.22
09/20/2023,$660.46,33125,$659.89,$663.92,$654.50
09/19/2023,$655.29,18528,$655.31,$661.29,$652.67
09/18/2023,$655.01,25478,$642.33,$656.99,$642.33
09/15/2023,$644.42,74896,$660.00,$660.00,$639.66
09/14/2023,$660.00,44628,$664.68,$666.43,$659.34
09/13/2023,$663.00,28992,$674.63,$674.63,$660.75
09/12/2023,$672.70,33732,$675.00,$682.00,$668.62
09/11/2023,$676.00,50466,$656.80,$682.25,$656.80
09/08/2023,$652.86,61262,$661.76,$661.76,$640.00
09/07/2023,$662.39,35690,$665.00,$665.00,$657.325
09/06/2023,$663.58,39586,$674.94,$682.01,$657.325
09/05/2023,$676.17,44667,$668.13,$684.80,$657.07
09/01/2023,$668.66,50150,$701.00,$701.00,$666.57
08/31/2023,$698.90,63791,$698.00,$699.82,$693.00
08/30/2023,$698.10,50798,$699.90,$703.325,$694.2401
08/29/2023,$700.99,64258,$696.12,$701.44,$696.12
08/28/2023,$696.12,22611,$695.40,$701.84,$695.40
08/25/2023,$694.66,41422,$690.23,$695.02,$685.0722
08/24/2023,$688.81,24528,$694.80,$701.65,$688.81
08/23/2023,$695.99,27896,$694.49,$698.825,$689.3613
08/22/2023,$690.26,25922,$690.00,$694.60,$686.12
08/21/2023,$689.58,21671,$692.31,$693.71,$686.78
08/18/2023,$695.90,50310,$687.13,$699.95,$685.95
08/17/2023,$689.88,37600,$713.22,$713.655,$689.60
08/16/2023,$714.19,34680,$720.98,$724.00,$712.79
08/15/2023,$718.41,16846,$724.00,$726.8949,$713.72
08/14/2023,$720.82,45872,$743.43,$743.43,$718.12
08/11/2023,$741.60,36746,$714.01,$745.53,$714.01
08/10/2023,$713.90,40020,$697.12,$714.39,$696.20
08/09/2023,$696.08,27798,$704.75,$705.67,$693.13
08/08/2023,$703.57,33409,$712.09,$715.78,$698.855
08/07/2023,$713.16,34791,$695.00,$719.86,$695.00
08/04/2023,$695.05,73027,$701.84,$702.98,$678.03
08/03/2023,$707.79,105414,$669.00,$731.90,$642.78
08/02/2023,$624.05,41021,$630.14,$637.51,$624.05
08/01/2023,$633.10,64380,$634.25,$638.03,$625.675
07/31/2023,$633.41,57056,$656.76,$656.76,$630.94
07/28/2023,$657.00,37969,$646.00,$658.18,$642.05
07/27/2023,$644.91,38309,$638.43,$647.21,$636.90
07/26/2023,$635.91,49232,$638.50,$642.98,$633.00
07/25/2023,$638.50,23364,$646.37,$646.37,$636.98
07/24/2023,$646.37,26962,$640.26,$647.83,$638.00
07/21/2023,$639.76,39343,$645.06,$648.165,$638.50
07/20/2023,$642.61,31411,$644.29,$644.29,$635.22
07/19/2023,$643.54,48390,$631.68,$643.54,$627.52
07/18/2023,$627.01,94173,$635.36,$643.17,$625.88
07/17/2023,$635.19,31354,$631.67,$639.25,$630.24
07/14/2023,$629.03,20032,$627.73,$630.7528,$624.11
07/13/2023,$625.49,26824,$616.20,$631.24,$616.20
07/12/2023,$614.98,54501,$624.26,$626.34,$614.51
07/11/2023,$619.09,38369,$636.92,$636.92,$615.01
07/10/2023,$633.11,38841,$636.52,$642.90,$632.09
07/07/2023,$633.29,39324,$639.17,$641.98,$633.14
07/06/2023,$639.58,17394,$642.00,$644.7099,$639.25
07/05/2023,$645.52,32369,$638.72,$647.00,$632.9651
07/03/2023,$639.48,25270,$634.49,$641.00,$630.0421
06/30/2023,$636.02,21086,$639.37,$642.272,$634.61
06/29/2023,$639.37,22822,$646.33,$651.69,$638.48
06/28/2023,$646.33,29173,$641.94,$648.10,$635.01
06/27/2023,$644.77,49211,$642.11,$648.41,$642.00
06/26/2023,$639.57,45389,$654.07,$654.07,$639.25
06/23/2023,$654.07,75505,$676.00,$680.75,$652.43
06/22/2023,$676.97,34787,$664.00,$676.97,$659.41
06/21/2023,$664.00,33653,$652.31,$664.00,$652.31
06/20/2023,$653.66,40955,$656.48,$663.00,$650.58
06/16/2023,$656.48,71330,$639.30,$658.05,$639.30
06/15/2023,$640.82,35419,$649.75,$652.23,$637.785
06/14/2023,$646.89,48998,$653.44,$656.76,$645.84
06/13/2023,$653.65,37294,$656.97,$659.95,$650.1401
06/12/2023,$654.44,52682,$667.34,$670.00,$648.0101
06/09/2023,$666.18,40929,$666.23,$671.30,$665.17
06/08/2023,$668.77,55318,$668.80,$675.00,$664.69
06/07/2023,$665.67,55009,$683.12,$688.357,$660.77
06/06/2023,$682.60,45019,$665.58,$683.50,$665.58
06/05/2023,$665.58,53593,$685.51,$692.36,$656.52
06/02/2023,$692.23,45784,$685.87,$693.92,$682.6701
06/01/2023,$680.24,31392,$660.41,$684.73,$659.04
05/31/2023,$661.74,57723,$667.14,$670.49,$658.445
05/30/2023,$667.82,38977,$673.04,$684.4799,$667.78
05/26/2023,$673.04,28078,$670.99,$678.205,$668.605
05/25/2023,$668.18,20526,$659.70,$672.23,$659.70
05/24/2023,$660.07,21497,$660.53,$666.77,$653.7101
05/23/2023,$661.36,32762,$658.95,$669.70,$657.705
