Date,Close/Last,Volume,Open,High,Low
12/29/2023,$156.74,4313691,$156.51,$156.90,$155.98
12/28/2023,$156.58,4377535,$156.00,$157.24,$155.99
12/27/2023,$156.35,5288101,$155.50,$156.52,$155.42
12/26/2023,$156.14,4170190,$155.00,$156.35,$154.85
12/22/2023,$155.46,3798865,$155.25,$156.53,$155.02
12/21/2023,$154.84,4598843,$153.69,$155.13,$153.30
12/20/2023,$153.27,7008313,$156.54,$156.66,$153.11
12/19/2023,$156.46,6651744,$155.30,$156.50,$154.94
12/18/2023,$155.44,7231383,$155.21,$156.44,$154.76
12/15/2023,$155.16,21727750,$155.49,$156.69,$153.76
12/14/2023,$156.87,9240800,$156.47,$157.16,$155.0474
12/13/2023,$155.79,10764580,$153.66,$155.94,$151.77
12/12/2023,$155.07,5324406,$155.00,$155.32,$153.65
12/11/2023,$155.06,6090360,$154.50,$155.48,$154.35
12/08/2023,$154.42,6254673,$155.42,$155.85,$153.84
12/07/2023,$155.40,6532388,$156.58,$156.58,$154.71
12/06/2023,$156.62,6642891,$158.52,$158.6592,$156.17
12/05/2023,$158.55,7268151,$158.80,$159.63,$158.22
12/04/2023,$158.88,8920279,$158.00,$160.02,$158.00
12/01/2023,$158.38,10342900,$156.44,$158.46,$155.47
11/30/2023,$154.66,12481870,$152.26,$155.14,$151.92
11/29/2023,$152.11,5190026,$151.33,$152.20,$151.07
11/28/2023,$151.63,5909044,$151.40,$151.81,$150.84
11/27/2023,$151.28,6449740,$152.29,$152.32,$150.97
11/24/2023,$152.50,3351448,$150.86,$152.6794,$150.86
11/22/2023,$150.82,4635503,$151.63,$152.04,$150.39
11/21/2023,$151.12,5916344,$150.10,$151.29,$149.61
11/20/2023,$149.91,8860472,$147.91,$150.40,$147.54
11/17/2023,$149.79,7025544,$150.55,$150.785,$149.065
11/16/2023,$150.10,6875566,$149.50,$150.17,$148.64
11/15/2023,$148.80,6729120,$147.35,$149.42,$147.27
11/14/2023,$147.66,6713647,$147.64,$148.54,$146.97
11/13/2023,$147.63,5889367,$147.25,$147.90,$146.65
11/10/2023,$147.25,6931611,$148.25,$148.50,$145.64
11/09/2023,$147.42,6973598,$150.50,$150.50,$147.26
11/08/2023,$150.35,5460167,$151.35,$151.83,$150.34
11/07/2023,$150.90,4840590,$151.93,$152.25,$150.68
11/06/2023,$151.70,4851421,$151.78,$152.425,$151.37
11/03/2023,$151.34,4926765,$151.21,$152.27,$150.145
11/02/2023,$150.24,5349097,$147.71,$150.40,$147.54
11/01/2023,$148.69,5732973,$149.19,$149.76,$148.46
10/31/2023,$148.34,7577017,$147.54,$148.545,$146.6416
10/30/2023,$147.03,8205509,$146.09,$147.24,$146.00
10/27/2023,$145.60,11385750,$148.49,$148.66,$144.95
10/26/2023,$149.00,7612507,$151.97,$151.97,$148.88
10/25/2023,$151.57,5880816,$151.24,$152.17,$150.23
