Date,Close/Last,Volume,Open,High,Low
12/29/2023,$28.79,30363080,$28.78,$28.8689,$28.54
12/28/2023,$28.79,30472890,$28.61,$29.03,$28.5819
12/27/2023,$28.61,35000660,$28.47,$28.7299,$28.31
12/26/2023,$28.41,30119120,$28.425,$28.53,$28.25
12/22/2023,$28.40,35162310,$28.44,$28.79,$28.18
12/21/2023,$28.31,51056620,$27.86,$28.36,$27.78
12/20/2023,$27.63,56184330,$28.19,$28.26,$27.61
12/19/2023,$28.16,70094660,$27.28,$28.24,$27.27
12/18/2023,$27.06,63329380,$26.92,$27.30,$26.72
12/15/2023,$26.63,138388400,$26.13,$26.9894,$26.08
12/14/2023,$26.13,101889800,$26.76,$27.315,$26.01
12/13/2023,$26.66,158100700,$26.28,$26.73,$25.76
12/12/2023,$28.58,48587530,$28.62,$28.86,$28.35
12/11/2023,$28.64,37833860,$28.78,$28.81,$28.435
12/08/2023,$28.78,31890740,$28.65,$28.965,$28.59
12/07/2023,$28.63,35782910,$28.82,$28.895,$28.50
12/06/2023,$28.79,33410520,$29.09,$29.40,$28.715
12/05/2023,$29.09,39853010,$29.21,$29.60,$29.07
12/04/2023,$29.28,47410450,$29.02,$29.64,$29.02
12/01/2023,$28.91,103624000,$28.97,$29.40,$28.30
11/30/2023,$30.47,45356590,$30.31,$30.51,$29.96
11/29/2023,$30.08,26185160,$29.77,$30.22,$29.725
11/28/2023,$29.69,29497710,$30.11,$30.11,$29.635
11/27/2023,$30.14,26066750,$30.75,$30.75,$30.03
11/24/2023,$30.50,11129740,$30.38,$30.70,$30.38
11/22/2023,$30.32,19230180,$30.39,$30.5769,$30.14
11/21/2023,$30.30,25988740,$30.02,$30.36,$29.76
11/20/2023,$29.98,26346190,$29.90,$30.14,$29.76
11/17/2023,$29.92,27082360,$29.92,$30.0089,$29.74
11/16/2023,$29.77,32407190,$30.27,$30.45,$29.47
11/15/2023,$30.19,43614640,$29.21,$30.35,$29.21
11/14/2023,$29.26,40084330,$29.09,$29.71,$28.99
11/13/2023,$28.98,35519910,$29.34,$29.36,$28.93
11/10/2023,$29.48,33860230,$29.75,$29.815,$29.025
11/09/2023,$29.68,28737700,$30.49,$30.505,$29.63
11/08/2023,$30.82,29398350,$30.92,$31.30,$30.55
11/07/2023,$31.25,18086420,$31.08,$31.385,$30.89
11/06/2023,$31.18,27381160,$31.32,$31.41,$30.955
11/03/2023,$31.26,28071020,$30.90,$31.39,$30.835
11/02/2023,$30.50,29640890,$30.51,$30.65,$30.21
11/01/2023,$30.51,23568310,$30.56,$31.075,$30.47
10/31/2023,$30.56,42648190,$30.285,$30.82,$29.70
10/30/2023,$30.55,33063530,$30.24,$30.68,$30.11
10/27/2023,$30.11,33877110,$31.06,$31.13,$30.02
10/26/2023,$31.16,27162700,$30.61,$31.37,$30.50
10/25/2023,$30.73,28857900,$30.46,$31.00,$30.22
10/24/2023,$30.43,26923790,$30.88,$31.03,$30.32
10/23/2023,$30.84,29412070,$30.77,$31.39,$30.53
10/20/2023,$30.65,39407900,$31.06,$31.11,$30.475
10/19/2023,$31.19,26880290,$31.38,$31.495,$30.91
10/18/2023,$31.41,30307590,$32.54,$32.68,$31.385
10/17/2023,$32.75,40015850,$33.00,$33.19,$32.20
10/16/2023,$33.27,63317430,$32.83,$33.92,$32.56
10/13/2023,$32.11,32675090,$32.94,$32.99,$32.015
10/12/2023,$32.92,21809860,$33.11,$33.22,$32.77
10/11/2023,$33.11,24221180,$33.24,$33.33,$32.82
10/10/2023,$33.17,19212100,$33.08,$33.40,$33.01
10/09/2023,$33.20,17468110,$33.06,$33.47,$32.77
10/06/2023,$33.13,23760440,$33.515,$33.56,$33.0721
10/05/2023,$33.47,21279410,$33.45,$33.78,$33.045
10/04/2023,$33.31,23722340,$33.94,$34.0799,$33.005
10/03/2023,$33.90,31059920,$33.84,$34.11,$33.71
10/02/2023,$33.94,44620600,$32.95,$33.955,$32.76
09/29/2023,$33.17,42421450,$32.35,$33.23,$32.30
09/28/2023,$32.09,28197590,$32.06,$32.32,$31.7744
09/27/2023,$32.10,26430110,$32.43,$32.50,$31.90
09/26/2023,$32.40,26015470,$32.72,$32.96,$32.36
