,Step,Portfolio Value,Cash,Stock Value,Stock Holdings,Stock Price,Available Actions,Action
0,1,1000.0,508.29,498.49,25.0,19.94,"(0, 1)",1
1,2,1006.77,1006.77,0.0,0.0,19.9,"(0, 1, 2)",2
2,3,1006.77,509.31,495.55,25.0,19.82,"(0, 1)",1
3,4,1004.86,509.31,492.04,25.0,19.68,"(0, 1, 2)",0
4,5,1001.35,509.31,497.54,25.0,19.9,"(0, 1, 2)",0
5,6,1006.85,1006.85,0.0,0.0,20.1,"(0, 1, 2)",2
6,7,1006.85,1006.85,0.0,0.0,20.05,"(0, 1)",2
7,8,1006.85,1006.85,0.0,0.0,19.88,"(0, 1)",2
8,9,1006.85,1006.85,0.0,0.0,19.55,"(0, 1)",0
9,10,1006.85,1006.85,0.0,0.0,19.88,"(0, 1)",0
10,11,1006.85,1006.85,0.0,0.0,19.79,"(0, 1)",2
11,12,1006.85,1006.85,0.0,0.0,19.79,"(0, 1)",0
12,13,1006.85,1006.85,0.0,0.0,19.98,"(0, 1)",2
13,14,1006.85,1006.85,0.0,0.0,20.35,"(0, 1)",2
14,15,1006.85,508.21,495.56,24.0,20.23,"(0, 1)",1
15,16,1003.78,508.21,489.84,24.0,19.99,"(0, 1, 2)",0
16,17,998.05,258.29,717.06,37.0,19.38,"(0, 1, 2)",1
17,18,975.35,258.29,714.62,37.0,19.31,"(0, 1, 2)",0
18,19,972.91,972.91,0.0,0.0,19.72,"(0, 1, 2)",2
19,20,972.91,489.74,470.64,24.0,19.21,"(0, 1)",1
20,21,960.38,489.74,493.69,24.0,20.15,"(0, 1, 2)",0
21,22,983.42,247.93,654.61,36.0,17.93,"(0, 1, 2)",1
22,23,902.54,902.54,0.0,0.0,17.31,"(0, 1, 2)",2
23,24,902.54,902.54,0.0,0.0,17.4,"(0, 1)",2
24,25,902.54,458.9,441.72,26.0,17.32,"(0, 1)",1
25,26,900.63,900.63,0.0,0.0,17.73,"(0, 1, 2)",2
26,27,900.63,457.39,451.35,25.0,18.05,"(0, 1)",1
27,28,908.74,457.39,451.09,25.0,18.04,"(0, 1, 2)",0
28,29,908.48,457.39,452.24,25.0,18.09,"(0, 1, 2)",0
29,30,909.63,457.39,436.56,25.0,17.46,"(0, 1, 2)",0
30,31,893.95,230.38,678.68,38.0,17.86,"(0, 1, 2)",1
31,32,909.06,909.06,0.0,0.0,17.87,"(0, 1, 2)",2
32,33,909.06,909.06,0.0,0.0,17.68,"(0, 1)",2
33,34,909.06,909.06,0.0,0.0,17.37,"(0, 1)",2
34,35,909.06,457.46,454.74,26.0,17.49,"(0, 1)",1
35,36,912.2,457.46,450.79,26.0,17.34,"(0, 1, 2)",0
36,37,908.25,457.46,457.31,26.0,17.59,"(0, 1, 2)",0
37,38,914.78,914.78,0.0,0.0,17.92,"(0, 1, 2)",2
38,39,914.78,914.78,0.0,0.0,17.99,"(0, 1)",0
39,40,914.78,914.78,0.0,0.0,18.01,"(0, 1)",0
40,41,914.78,914.78,0.0,0.0,18.1,"(0, 1)",2
41,42,914.78,914.78,0.0,0.0,17.99,"(0, 1)",0
42,43,914.78,465.05,454.87,25.0,18.19,"(0, 1)",1
43,44,919.93,919.93,0.0,0.0,18.62,"(0, 1, 2)",2
44,45,919.93,463.77,455.9,24.0,18.61,"(0, 1)",1
45,46,919.67,463.77,455.77,24.0,18.6,"(0, 1, 2)",0
46,47,919.55,919.55,0.0,0.0,18.53,"(0, 1, 2)",2
47,48,919.55,919.55,0.0,0.0,18.44,"(0, 1)",2
48,49,919.55,919.55,0.0,0.0,18.53,"(0, 1)",0
49,50,919.55,465.51,455.1,24.0,18.58,"(0, 1)",1
50,51,920.61,920.61,0.0,0.0,18.69,"(0, 1, 2)",2
51,52,920.61,462.78,459.42,24.0,18.75,"(0, 1)",1
52,53,922.21,237.76,691.26,36.0,18.94,"(0, 1, 2)",1
53,54,929.01,124.13,793.11,42.0,18.66,"(0, 1, 2)",1
54,55,917.24,917.24,0.0,0.0,18.45,"(0, 1, 2)",2
55,56,917.24,465.25,441.76,24.0,18.03,"(0, 1)",1
56,57,907.01,907.01,0.0,0.0,17.59,"(0, 1, 2)",2
57,58,907.01,458.4,452.26,26.0,17.74,"(0, 1)",1
58,59,910.66,458.4,437.85,26.0,17.17,"(0, 1, 2)",0
59,60,896.25,235.19,651.55,38.0,16.92,"(0, 1, 2)",1
60,61,886.74,886.74,0.0,0.0,16.91,"(0, 1, 2)",2
61,62,886.74,886.74,0.0,0.0,16.82,"(0, 1)",2
62,63,886.74,886.74,0.0,0.0,17.15,"(0, 1)",2
63,64,886.74,886.74,0.0,0.0,17.1,"(0, 1)",2
64,65,886.74,886.74,0.0,0.0,16.68,"(0, 1)",0
65,66,886.74,886.74,0.0,0.0,16.15,"(0, 1)",0
66,67,886.74,450.69,428.98,27.0,15.89,"(0, 1)",1
67,68,879.67,879.67,0.0,0.0,16.35,"(0, 1, 2)",2
68,69,879.67,446.3,439.64,26.0,16.59,"(0, 1)",1
69,70,885.94,230.63,626.29,40.0,15.86,"(0, 1, 2)",1
70,71,856.92,119.64,724.77,46.0,15.59,"(0, 1, 2)",1
71,72,844.41,119.64,734.49,46.0,15.8,"(0, 1, 2)",0
72,73,854.13,64.35,790.2,50.0,15.8,"(0, 1, 2)",1
73,74,854.55,64.35,809.2,50.0,16.18,"(0, 1, 2)",0
74,75,873.55,64.35,812.28,50.0,16.25,"(0, 1, 2)",0
75,76,876.63,64.35,827.18,50.0,16.54,"(0, 1, 2)",0
76,77,891.53,39.54,848.0,52.0,16.47,"(0, 1, 2)",1
77,78,887.54,23.07,852.02,52.0,16.23,"(0, 1, 2)",1
78,79,875.09,14.96,893.45,53.0,16.86,"(0, 1, 2)",1
79,80,908.4,908.4,0.0,0.0,15.19,"(0, 2)",2
80,81,908.4,460.26,437.46,30.0,14.83,"(0, 1)",1
81,82,897.71,230.41,675.86,45.0,15.02,"(0, 1, 2)",1
82,83,906.26,230.41,684.29,45.0,15.21,"(0, 1, 2)",0
83,84,914.7,914.7,0.0,0.0,15.39,"(0, 1, 2)",2
84,85,914.7,460.56,454.31,30.0,15.4,"(0, 1)",1
85,86,914.88,460.56,457.32,30.0,15.5,"(0, 1, 2)",0
86,87,917.88,460.56,438.64,30.0,14.87,"(0, 1, 2)",0
87,88,899.2,460.56,431.75,30.0,14.64,"(0, 1, 2)",0
88,89,892.31,892.31,0.0,0.0,14.42,"(0, 1, 2)",2
89,90,892.31,892.31,0.0,0.0,14.61,"(0, 1)",0
90,91,892.31,446.64,461.86,30.0,15.14,"(0, 1)",1
91,92,908.5,908.5,0.0,0.0,15.23,"(0, 1, 2)",2
92,93,908.5,459.16,438.99,30.0,14.88,"(0, 1)",1
93,94,898.15,459.16,435.41,30.0,14.76,"(0, 1, 2)",0
94,95,894.56,894.56,0.0,0.0,14.89,"(0, 1, 2)",2
95,96,894.56,894.56,0.0,0.0,14.84,"(0, 1)",2
96,97,894.56,894.56,0.0,0.0,15.06,"(0, 1)",0
97,98,894.56,894.56,0.0,0.0,15.25,"(0, 1)",0
98,99,894.56,452.3,442.12,29.0,15.25,"(0, 1)",1
99,100,894.42,894.42,0.0,0.0,15.61,"(0, 1, 2)",2
100,101,894.42,449.48,442.92,28.0,15.54,"(0, 1)",1
101,102,892.4,892.4,0.0,0.0,15.51,"(0, 1, 2)",2
102,103,892.4,450.42,447.14,28.0,15.69,"(0, 1)",1
103,104,897.55,897.55,0.0,0.0,15.63,"(0, 1, 2)",2
104,105,897.55,897.55,0.0,0.0,15.44,"(0, 1)",2
